country,airport,airport_code
Afghanistan,Kabul Kabul International Airport(KBL),KBL
Afghanistan,Mazar-i-Sharif Mazar-i-Sharif Airport(MZR),MZR
Albania,Kukës Kukes International Airport(KFZ),KFZ
Albania,Tirana Tirana International Airport(TIA),TIA
Algeria,Adrar Adrar Airport(AZR),AZR
Algeria,Algeria Houari Boumediene Airport(ALG),ALG
Algeria,Aménas In Amenas Airport(IAM),IAM
Algeria,Annaba Rabah Bitat Airport(AAE),AAE
Algeria,Béchar Bechar Airport(CBH),CBH
Algeria,Bejaia Bejaia Airport(BJA),BJA
Algeria,Biskra Biskra Airport(BSK),BSK
Algeria,Constantine Mohammed Boudiaf International Airport(CZL),CZL
Algeria,Djanet Tiska Airport(DJG),DJG
Algeria,El Golea El Golea Airport(ELG),ELG
Algeria,El Oued Guemar Airport(ELU),ELU
Algeria,Ghardaia Noumerat Airport(GHA),GHA
Algeria,In Salah In Salah Airport(INZ),INZ
Algeria,Jijel Jijel Airport(GJL),GJL
Algeria,Laghouat Laghouat Airport(LOO),LOO
Algeria,Oran Oran Es Senia Airport(ORN),ORN
Algeria,Tlemcen Zenata-Messali El Hadj Airport(TLM),TLM
Angola,Luanda Quatro De Fevereiro Airport(LAD),LAD
Antigua and Barbuda,St. George V. C. Bird International Airport(ANU),ANU
Argentina,Buenos Aires Buenos Aires (All) (2 Airports),AEP
Argentina,Buenos Aires Jorge Newbery Airport(AEP),AEP
Argentina,Buenos Aires Ministro Pistarini International Airport(EZE),EZE
Argentina,Cordoba A. L. V. Taravella Airport(COR),COR
Argentina,El Calafate Comandante A. Tola Airport(FTE),FTE
Argentina,Iguazu Cataratas del Iguazu Airport(IGR),IGR
Argentina,Mendoza Mendoza Airport(MDZ),MDZ
Argentina,Rosario Islas Malvinas Airport(ROS),ROS
Argentina,San Carlos Bariloche San Carlos Bariloche Airport(BRC),BRC
Argentina,Ushuaia Ushuaia Airport(USH),USH
Aruba,Aruba Reina Beatrix Airport(AUA),AUA
Australia,Adelaide Adelaide International Airport(ADL),ADL
Australia,Ayers Rock Connellan Airport(AYQ),AYQ
Australia,Brisbane Brisbane Airport(BNE),BNE
Australia,Cairns Cairns International Airport(CNS),CNS
Australia,Canberra Canberra Airport(CBR),CBR
Australia,Darwin Darwin International Airport(DRW),DRW
Australia,Gold Coast Coolangatta Airport(OOL),OOL
Australia,Hamilton Island Great Barrier Reef Airport(HTI),HTI
Australia,Hobart Hobart International Airport(HBA),HBA
Australia,Launceston Launceston Airport(LST),LST
Australia,Mackay Mackay Airport(MKY),MKY
Australia,Melbourne Melbourne (All) (2 Airports),MEL
Australia,Melbourne Avalon Airport(AVV),AVV
Australia,Melbourne Melbourne-Tullamarine International Airport(MEL),MEL
Australia,Newcastle Williamtown Airport(NTL),NTL
Australia,Perth Perth Airport(PER),PER
Australia,Port Lincoln Port Lincoln Airport(PLO),PLO
Australia,Proserpine Whitsunday Coast Airport(PPP),PPP
Australia,Sunshine Coast Sunshine Coast Airport(MCY),MCY
Australia,Sydney Sydney Kingsford Smith Airport(SYD),SYD
Australia,Townsville Townsville (All) (2 Airports),TSV
Australia,Townsville Townsville International Airport(TSV),TSV
Australia,Tsewi Tsewi Airport(TSW),TSW
Austria,Bregenz Bregenz Main Railway Station(XGZ),XGZ
Austria,Graz Graz (All) (2 Airports),GRZ
Austria,Graz Graz Airport(GRZ),GRZ
Austria,Graz Graz Central Railway Station(GGZ),GGZ
Austria,Innsbruck Innsbruck (All) (2 Airports),INN
Austria,"Innsbruck Innsbruck, Innsbruck Airport(INN)",INN
Austria,Innsbruck Innsbruck Main Railway Station(IOB),IOB
Austria,Klagenfurt Klagenfurt (All) (2 Airports),KLU
Austria,Klagenfurt Klagenfurt Airport(KLU),KLU
Austria,Klagenfurt Klagenfurt Railway Station(KGV),KGV
Austria,Linz Linz Rail Station(LZS),LZS
Austria,Saint Pölten Saint Pölten Rail Station(POK),POK
Austria,Salzburg Salzburg (All) (2 Airports),SZG
Austria,Salzburg Salzburg W. A. Mozart Airport(SZG),SZG
Austria,Salzburg Salzburg Main Railway Station(ZSB),ZSB
Austria,Vienna Vienna Schwechat Airport(VIE),VIE
Austria,Vienna Vienna Rail Station(XWC),XWC
Azerbaijan,Baku Haydar Aliyev International Airport(GYD),GYD
Azerbaijan,Ganja Ganja Airport(GNJ),GNJ
Azerbaijan,Nakhchivan Nakhchivan Airport(NAJ),NAJ
Bahamas,George Town Exuma International Airport(GGT),GGT
Bahamas,Nassau Lynden Pindling International Airport(NAS),NAS
Bahamas,San Salvador Cockburn Town Airport(ZSA),ZSA
Bahrain,Bahrain Bahrain International Airport(BAH),BAH
Bangladesh,Chittagong Chittagong Airport(CGP),CGP
Bangladesh,Dhaka Dhaka Shah Jalal International Airport(DAC),DAC
Bangladesh,Sylhet Sylhet Airport(ZYL),ZYL
Barbados,Bridgetown Grantley Adams International Airport(BGI),BGI
Belarus,Minsk Minsk National Airport(MSQ),MSQ
Belgium,Antwerp Antwerp-Centraal Railway Station(ZWE),ZWE
Belgium,Brussels Brussels National Airport(BRU),BRU
Belize,Belize City Philip S. W. Goldson International Airport(BZE),BZE
Benin,Cotonou Cotonou Airport(COO),COO
Bermuda,Hamilton L.F. Wade International Airport(BDA),BDA
