departure,arrival,date,prices,lowest_price
GVA,AEP,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,964.95'}, {'price': 'CHF', 'currency': '1,890.95'}, {'price': 'CHF', 'currency': '1,964.95'}, {'price': 'CHF', 'currency': '1,890.95'}, {'price': 'CHF', 'currency': '1,964.95'}, {'price': 'CHF', 'currency': '4,160.30'}, {'price': 'CHF', 'currency': '1,890.95'}, {'price': 'CHF', 'currency': '4,160.30'}, {'price': 'CHF', 'currency': '4,160.30'}, {'price': 'CHF', 'currency': '4,160.30'}, {'price': 'CHF', 'currency': '4,160.30'}, {'price': 'CHF', 'currency': '1,664.95'}, {'price': 'CHF', 'currency': '4,160.30'}, {'price': 'CHF', 'currency': '4,160.30'}, {'price': 'CHF', 'currency': '1,964.95'}, {'price': 'CHF', 'currency': '1,573.95'}]",
GVA,EZE,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,532.95'}, {'price': 'CHF', 'currency': '1,832.95'}, {'price': 'CHF', 'currency': '1,832.95'}, {'price': 'CHF', 'currency': '1,832.95'}, {'price': 'CHF', 'currency': '1,449.05'}]",
GVA,COR,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '3,228.50'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '3,228.50'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '3,228.50'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}, {'price': 'CHF', 'currency': '1,533.15'}]",
GVA,FTE,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}]",
GVA,IGR,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,678.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,678.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,678.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,678.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}]",
GVA,MDZ,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}]",
GVA,ROS,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,575.15'}, {'price': 'CHF', 'currency': '1,575.15'}, {'price': 'CHF', 'currency': '1,575.15'}, {'price': 'CHF', 'currency': '1,637.15'}, {'price': 'CHF', 'currency': '1,575.15'}, {'price': 'CHF', 'currency': '1,637.15'}, {'price': 'CHF', 'currency': '1,637.15'}, {'price': 'CHF', 'currency': '1,637.15'}]",
GVA,BRC,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '2,080.95'}, {'price': 'CHF', 'currency': '2,080.95'}, {'price': 'CHF', 'currency': '2,080.95'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,780.95'}, {'price': 'CHF', 'currency': '2,080.95'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,616.15'}, {'price': 'CHF', 'currency': '1,780.95'}, {'price': 'CHF', 'currency': '1,616.15'}]",
GVA,USH,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '3,477.50'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '3,477.50'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '3,477.50'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '3,477.50'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}, {'price': 'CHF', 'currency': '1,657.15'}]",
GVA,ADL,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,221.80'}, {'price': 'CHF', 'currency': '1,221.80'}, {'price': 'CHF', 'currency': '1,221.80'}, {'price': 'CHF', 'currency': '1,131.80'}, {'price': 'CHF', 'currency': '1,221.80'}]",
