departure,arrival,arrival_country,arrival_continent,date,prices,lowest_price_today,week_prices,lowest_price_week
GVA,KBL,Afghanistan,Asia,Wed Aug 06 2025,"[{""price"": ""1007.25"", ""currency"": ""CHF""}, {""price"": ""1007.25"", ""currency"": ""CHF""}, {""price"": ""1007.25"", ""currency"": ""CHF""}, {""price"": ""1007.25"", ""currency"": ""CHF""}]",1007.25,"[{""date"": ""03 August (Sunday)"", ""price"": ""1012"", ""currency"": ""CHF""}, {""date"": ""04 August (Monday)"", ""price"": ""1079"", ""currency"": ""CHF""}, {""date"": ""05 August (Tuesday)"", ""price"": ""1079"", ""currency"": ""CHF""}, {""date"": ""06 August (Wednesday)"", ""price"": ""1007"", ""currency"": ""CHF""}, {""date"": ""07 August (Thursday)"", ""price"": ""1007"", ""currency"": ""CHF""}, {""date"": ""08 August (Friday)"", ""price"": ""1012"", ""currency"": ""CHF""}, {""date"": ""09 August (Saturday)"", ""price"": ""1012"", ""currency"": ""CHF""}]",1007.0
GVA,MZR,Afghanistan,Asia,Wed Aug 06 2025,[],,[],
GVA,ALG,Algeria,Africa,Wed Aug 06 2025,"[{""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}, {""price"": ""325.15"", ""currency"": ""CHF""}]",325.15,"[{""date"": ""03 August (Sunday)"", ""price"": ""330"", ""currency"": ""CHF""}, {""date"": ""04 August (Monday)"", ""price"": ""325"", ""currency"": ""CHF""}, {""date"": ""05 August (Tuesday)"", ""price"": ""325"", ""currency"": ""CHF""}, {""date"": ""06 August (Wednesday)"", ""price"": ""325"", ""currency"": ""CHF""}, {""date"": ""07 August (Thursday)"", ""price"": ""325"", ""currency"": ""CHF""}, {""date"": ""08 August (Friday)"", ""price"": ""330"", ""currency"": ""CHF""}, {""date"": ""09 August (Saturday)"", ""price"": ""330"", ""currency"": ""CHF""}]",325.0
GVA,AAE,Algeria,Africa,Wed Aug 06 2025,[],,[],
GVA,CZL,Algeria,Africa,Wed Aug 06 2025,"[{""price"": ""397.15"", ""currency"": ""CHF""}, {""price"": ""397.15"", ""currency"": ""CHF""}, {""price"": ""397.15"", ""currency"": ""CHF""}, {""price"": ""397.15"", ""currency"": ""CHF""}]",397.15,"[{""date"": ""03 August (Sunday)"", ""price"": ""402"", ""currency"": ""CHF""}, {""date"": ""04 August (Monday)"", ""price"": ""588"", ""currency"": ""CHF""}, {""date"": ""05 August (Tuesday)"", ""price"": ""397"", ""currency"": ""CHF""}, {""date"": ""06 August (Wednesday)"", ""price"": ""397"", ""currency"": ""CHF""}, {""date"": ""07 August (Thursday)"", ""price"": ""397"", ""currency"": ""CHF""}, {""date"": ""08 August (Friday)"", ""price"": ""402"", ""currency"": ""CHF""}, {""date"": ""09 August (Saturday)"", ""price"": ""679"", ""currency"": ""CHF""}]",397.0
GVA,ELG,Algeria,Africa,Wed Aug 06 2025,[],,[],
GVA,ELU,Algeria,Africa,Wed Aug 06 2025,[],,[],
GVA,GHA,Algeria,Africa,Wed Aug 06 2025,[],,[],
GVA,LOO,Algeria,Africa,Wed Aug 06 2025,[],,[],
GVA,ORN,Algeria,Africa,Wed Aug 06 2025,"[{""price"": ""375.15"", ""currency"": ""CHF""}, {""price"": ""375.15"", ""currency"": ""CHF""}, {""price"": ""375.15"", ""currency"": ""CHF""}, {""price"": ""375.15"", ""currency"": ""CHF""}]",375.15,"[{""date"": ""03 August (Sunday)"", ""price"": ""380"", ""currency"": ""CHF""}, {""date"": ""04 August (Monday)"", ""price"": ""375"", ""currency"": ""CHF""}, {""date"": ""05 August (Tuesday)"", ""price"": ""375"", ""currency"": ""CHF""}, {""date"": ""06 August (Wednesday)"", ""price"": ""375"", ""currency"": ""CHF""}, {""date"": ""07 August (Thursday)"", ""price"": ""599"", ""currency"": ""CHF""}, {""date"": ""08 August (Friday)"", ""price"": ""380"", ""currency"": ""CHF""}, {""date"": ""09 August (Saturday)"", ""price"": ""380"", ""currency"": ""CHF""}]",375.0
