departure,arrival,arrival_country,arrival_continent,date,prices,lowest_price_today,week_prices,lowest_price_week
IST,YXX,Canada,North America,Wed Aug 06 2025,[],,[],
IST,YBG,Canada,North America,Wed Aug 06 2025,"[{""price"": ""57960.16"", ""currency"": ""TRY""}]",57960.16,"[{""date"": ""03 August (Sunday)"", ""price"": ""60042"", ""currency"": ""TRY""}, {""date"": ""06 August (Wednesday)"", ""price"": ""53285"", ""currency"": ""TRY""}, {""date"": ""08 August (Friday)"", ""price"": ""60042"", ""currency"": ""TRY""}]",53285.0
IST,ZBF,Canada,North America,Wed Aug 06 2025,[],,[],
IST,YYG,Canada,North America,Wed Aug 06 2025,"[{""price"": ""59909.52"", ""currency"": ""TRY""}, {""price"": ""53285.19"", ""currency"": ""TRY""}, {""price"": ""53285.19"", ""currency"": ""TRY""}, {""price"": ""59909.52"", ""currency"": ""TRY""}]",53285.19,"[{""date"": ""03 August (Sunday)"", ""price"": ""59910"", ""currency"": ""TRY""}, {""date"": ""04 August (Monday)"", ""price"": ""59910"", ""currency"": ""TRY""}, {""date"": ""05 August (Tuesday)"", ""price"": ""42618"", ""currency"": ""TRY""}, {""date"": ""06 August (Wednesday)"", ""price"": ""53285"", ""currency"": ""TRY""}, {""date"": ""07 August (Thursday)"", ""price"": ""113493"", ""currency"": ""TRY""}, {""date"": ""08 August (Friday)"", ""price"": ""60042"", ""currency"": ""TRY""}]",42618.0
IST,YQQ,Canada,North America,Wed Aug 06 2025,[],,[],
IST,YXC,Canada,North America,Wed Aug 06 2025,[],,[],
IST,YDF,Canada,North America,Wed Aug 06 2025,"[{""price"": ""53285.19"", ""currency"": ""TRY""}, {""price"": ""113493.07"", ""currency"": ""TRY""}]",53285.19,"[{""date"": ""03 August (Sunday)"", ""price"": ""55935"", ""currency"": ""TRY""}, {""date"": ""04 August (Monday)"", ""price"": ""113493"", ""currency"": ""TRY""}, {""date"": ""05 August (Tuesday)"", ""price"": ""113493"", ""currency"": ""TRY""}, {""date"": ""06 August (Wednesday)"", ""price"": ""55670"", ""currency"": ""TRY""}, {""date"": ""07 August (Thursday)"", ""price"": ""113493"", ""currency"": ""TRY""}, {""date"": ""08 August (Friday)"", ""price"": ""60042"", ""currency"": ""TRY""}]",55670.0
IST,YMM,Canada,North America,Wed Aug 06 2025,"[{""price"": ""55536.52"", ""currency"": ""TRY""}]",55536.52,"[{""date"": ""04 August (Monday)"", ""price"": ""51205"", ""currency"": ""TRY""}, {""date"": ""05 August (Tuesday)"", ""price"": ""57127"", ""currency"": ""TRY""}, {""date"": ""06 August (Wednesday)"", ""price"": ""55537"", ""currency"": ""TRY""}, {""date"": ""07 August (Thursday)"", ""price"": ""55537"", ""currency"": ""TRY""}]",51205.0
IST,YFC,Canada,North America,Wed Aug 06 2025,"[{""price"": ""57960.16"", ""currency"": ""TRY""}]",57960.16,"[{""date"": ""03 August (Sunday)"", ""price"": ""66403"", ""currency"": ""TRY""}, {""date"": ""04 August (Monday)"", ""price"": ""47627"", ""currency"": ""TRY""}, {""date"": ""05 August (Tuesday)"", ""price"": ""53550"", ""currency"": ""TRY""}, {""date"": ""06 August (Wednesday)"", ""price"": ""53285"", ""currency"": ""TRY""}, {""date"": ""07 August (Thursday)"", ""price"": ""53550"", ""currency"": ""TRY""}, {""date"": ""08 August (Friday)"", ""price"": ""53550"", ""currency"": ""TRY""}]",47627.0
IST,YQX,Canada,North America,Wed Aug 06 2025,"[{""price"": ""53285.19"", ""currency"": ""TRY""}, {""price"": ""59909.52"", ""currency"": ""TRY""}, {""price"": ""53549.52"", ""currency"": ""TRY""}]",53285.19,"[{""date"": ""03 August (Sunday)"", ""price"": ""57922"", ""currency"": ""TRY""}, {""date"": ""04 August (Monday)"", ""price"": ""59910"", ""currency"": ""TRY""}, {""date"": ""05 August (Tuesday)"", ""price"": ""53550"", ""currency"": ""TRY""}, {""date"": ""06 August (Wednesday)"", ""price"": ""56730"", ""currency"": ""TRY""}, {""date"": ""07 August (Thursday)"", ""price"": ""53550"", ""currency"": ""TRY""}, {""date"": ""08 August (Friday)"", ""price"": ""59910"", ""currency"": ""TRY""}]",53550.0
